Model 1,Model 2,Model 1 Mean,Model 1 Std Error,Model 1 Confidence Interval,Model 2 Mean,Model 2 Std Error,Model 2 Confidence Interval,p-value
CochranePLS_gpt3.5_os,CochranePLS_llama2-13b-chat_os,0.2434,0.013,[0.2215 0.273 ],0.2175,0.0144,[0.1922 0.2469],2.2399999999999998e-23
CochranePLS_gpt3.5_os,CochranePLS_llama2-13b-chat_5s,0.2434,0.013,[0.2215 0.273 ],0.2279,0.0147,[0.2027 0.2559],1.75e-13
CochranePLS_gpt3.5_os,CochranePLS_pmcllama-13b_finetuned,0.2434,0.013,[0.2215 0.273 ],0.2347,0.0174,[0.2052 0.2727],0.000313
CochranePLS_gpt3.5_5s,CochranePLS_gpt4_zs,0.2467,0.013,[0.2244 0.2771],0.2364,0.0119,[0.2154 0.2617],2.5e-08
CochranePLS_gpt3.5_5s,CochranePLS_gpt4_os,0.2467,0.013,[0.2244 0.2771],0.238,0.0107,[0.2211 0.2608],4.16e-06
CochranePLS_gpt3.5_5s,CochranePLS_gpt4_5s,0.2467,0.013,[0.2244 0.2771],0.2459,0.0126,[0.2249 0.2742],0.716
CochranePLS_gpt3.5_5s,CochranePLS_llama2-13b_finetuned,0.2467,0.013,[0.2244 0.2771],0.2315,0.0173,[0.2044 0.2633],1.43e-09
CochranePLS_gpt3.5_5s,CochranePLS_llama2-13b-chat_zs,0.2467,0.013,[0.2244 0.2771],0.2073,0.0127,[0.1868 0.2354],7.04e-32
CochranePLS_gpt3.5_5s,CochranePLS_llama2-13b-chat_os,0.2467,0.013,[0.2244 0.2771],0.2175,0.0144,[0.1922 0.2469],2.9200000000000003e-26
CochranePLS_gpt3.5_5s,CochranePLS_llama2-13b-chat_5s,0.2467,0.013,[0.2244 0.2771],0.2279,0.0147,[0.2027 0.2559],1.38e-17
CochranePLS_gpt3.5_5s,CochranePLS_pmcllama-13b_finetuned,0.2467,0.013,[0.2244 0.2771],0.2347,0.0174,[0.2052 0.2727],8.72e-07
CochranePLS_gpt4_zs,CochranePLS_gpt4_os,0.2364,0.0119,[0.2154 0.2617],0.238,0.0107,[0.2211 0.2608],0.208
CochranePLS_gpt4_zs,CochranePLS_gpt4_5s,0.2364,0.0119,[0.2154 0.2617],0.2459,0.0126,[0.2249 0.2742],1.73e-07
CochranePLS_gpt4_zs,CochranePLS_llama2-13b_finetuned,0.2364,0.0119,[0.2154 0.2617],0.2315,0.0173,[0.2044 0.2633],0.00774
CochranePLS_gpt4_zs,CochranePLS_llama2-13b-chat_zs,0.2364,0.0119,[0.2154 0.2617],0.2073,0.0127,[0.1868 0.2354],1.78e-28
CochranePLS_gpt4_zs,CochranePLS_llama2-13b-chat_os,0.2364,0.0119,[0.2154 0.2617],0.2175,0.0144,[0.1922 0.2469],4.64e-17
CochranePLS_gpt4_zs,CochranePLS_llama2-13b-chat_5s,0.2364,0.0119,[0.2154 0.2617],0.2279,0.0147,[0.2027 0.2559],5.83e-06
CochranePLS_gpt4_zs,CochranePLS_pmcllama-13b_finetuned,0.2364,0.0119,[0.2154 0.2617],0.2347,0.0174,[0.2052 0.2727],0.503
CochranePLS_gpt4_os,CochranePLS_gpt4_5s,0.238,0.0107,[0.2211 0.2608],0.2459,0.0126,[0.2249 0.2742],9.98e-06
CochranePLS_gpt4_os,CochranePLS_llama2-13b_finetuned,0.238,0.0107,[0.2211 0.2608],0.2315,0.0173,[0.2044 0.2633],0.00119
CochranePLS_gpt4_os,CochranePLS_llama2-13b-chat_zs,0.238,0.0107,[0.2211 0.2608],0.2073,0.0127,[0.1868 0.2354],7.88e-30
CochranePLS_gpt4_os,CochranePLS_llama2-13b-chat_os,0.238,0.0107,[0.2211 0.2608],0.2175,0.0144,[0.1922 0.2469],3.18e-19
CochranePLS_gpt4_os,CochranePLS_llama2-13b-chat_5s,0.238,0.0107,[0.2211 0.2608],0.2279,0.0147,[0.2027 0.2559],4.48e-08
CochranePLS_gpt4_os,CochranePLS_pmcllama-13b_finetuned,0.238,0.0107,[0.2211 0.2608],0.2347,0.0174,[0.2052 0.2727],0.103
CochranePLS_gpt4_5s,CochranePLS_llama2-13b_finetuned,0.2459,0.0126,[0.2249 0.2742],0.2315,0.0173,[0.2044 0.2633],4.32e-09
CochranePLS_gpt4_5s,CochranePLS_llama2-13b-chat_zs,0.2459,0.0126,[0.2249 0.2742],0.2073,0.0127,[0.1868 0.2354],8.620000000000001e-32
CochranePLS_gpt4_5s,CochranePLS_llama2-13b-chat_os,0.2459,0.0126,[0.2249 0.2742],0.2175,0.0144,[0.1922 0.2469],1.13e-25
CochranePLS_gpt4_5s,CochranePLS_llama2-13b-chat_5s,0.2459,0.0126,[0.2249 0.2742],0.2279,0.0147,[0.2027 0.2559],8.82e-17
CochranePLS_gpt4_5s,CochranePLS_pmcllama-13b_finetuned,0.2459,0.0126,[0.2249 0.2742],0.2347,0.0174,[0.2052 0.2727],2.99e-06
CochranePLS_llama2-13b_finetuned,CochranePLS_llama2-13b-chat_zs,0.2315,0.0173,[0.2044 0.2633],0.2073,0.0127,[0.1868 0.2354],2.34e-20
CochranePLS_llama2-13b_finetuned,CochranePLS_llama2-13b-chat_os,0.2315,0.0173,[0.2044 0.2633],0.2175,0.0144,[0.1922 0.2469],8.17e-08
CochranePLS_llama2-13b_finetuned,CochranePLS_llama2-13b-chat_5s,0.2315,0.0173,[0.2044 0.2633],0.2279,0.0147,[0.2027 0.2559],0.257
CochranePLS_llama2-13b_finetuned,CochranePLS_pmcllama-13b_finetuned,0.2315,0.0173,[0.2044 0.2633],0.2347,0.0174,[0.2052 0.2727],0.216
CochranePLS_llama2-13b-chat_zs,CochranePLS_llama2-13b-chat_os,0.2073,0.0127,[0.1868 0.2354],0.2175,0.0144,[0.1922 0.2469],3.24e-07
CochranePLS_llama2-13b-chat_zs,CochranePLS_llama2-13b-chat_5s,0.2073,0.0127,[0.1868 0.2354],0.2279,0.0147,[0.2027 0.2559],5.9e-19
CochranePLS_llama2-13b-chat_zs,CochranePLS_pmcllama-13b_finetuned,0.2073,0.0127,[0.1868 0.2354],0.2347,0.0174,[0.2052 0.2727],1.46e-22
CochranePLS_llama2-13b-chat_os,CochranePLS_llama2-13b-chat_5s,0.2175,0.0144,[0.1922 0.2469],0.2279,0.0147,[0.2027 0.2559],2.11e-06
CochranePLS_llama2-13b-chat_os,CochranePLS_pmcllama-13b_finetuned,0.2175,0.0144,[0.1922 0.2469],0.2347,0.0174,[0.2052 0.2727],3.33e-11
CochranePLS_llama2-13b-chat_5s,CochranePLS_pmcllama-13b_finetuned,0.2279,0.0147,[0.2027 0.2559],0.2347,0.0174,[0.2052 0.2727],0.00301
