Model 1,Model 2,Model 1 Mean,Model 1 Std Error,Model 1 Confidence Interval,Model 2 Mean,Model 2 Std Error,Model 2 Confidence Interval,p-value
HoC_gpt4_os,HoC_llama2-13b-chat_os,0.6573,0.0712,[0.5128 0.7863],0.2823,0.0561,[0.1722 0.3951],2.6e-34
HoC_gpt4_os,HoC_llama2-13b-chat_5s,0.6573,0.0712,[0.5128 0.7863],0.1698,0.0337,[0.1068 0.2252],2.5199999999999998e-34
HoC_gpt4_os,HoC_pmcllama-13b_finetuned,0.6573,0.0712,[0.5128 0.7863],0.3802,0.0816,[0.2458 0.5279],1.2300000000000001e-33
HoC_gpt4_5s,HoC_llama2-13b_finetuned,0.6626,0.0682,[0.5051 0.7846],0.6171,0.0737,[0.4586 0.7515],2.58e-05
HoC_gpt4_5s,HoC_llama2-13b-chat_zs,0.6626,0.0682,[0.5051 0.7846],0.1125,0.0523,[0.0224 0.2221],2.5199999999999998e-34
HoC_gpt4_5s,HoC_llama2-13b-chat_os,0.6626,0.0682,[0.5051 0.7846],0.2823,0.0561,[0.1722 0.3951],2.5199999999999998e-34
HoC_gpt4_5s,HoC_llama2-13b-chat_5s,0.6626,0.0682,[0.5051 0.7846],0.1698,0.0337,[0.1068 0.2252],2.5199999999999998e-34
HoC_gpt4_5s,HoC_pmcllama-13b_finetuned,0.6626,0.0682,[0.5051 0.7846],0.3802,0.0816,[0.2458 0.5279],7.199999999999999e-34
HoC_llama2-13b_finetuned,HoC_llama2-13b-chat_zs,0.6171,0.0737,[0.4586 0.7515],0.1125,0.0523,[0.0224 0.2221],2.5199999999999998e-34
HoC_llama2-13b_finetuned,HoC_llama2-13b-chat_os,0.6171,0.0737,[0.4586 0.7515],0.2823,0.0561,[0.1722 0.3951],3.02e-34
HoC_llama2-13b_finetuned,HoC_llama2-13b-chat_5s,0.6171,0.0737,[0.4586 0.7515],0.1698,0.0337,[0.1068 0.2252],2.5199999999999998e-34
HoC_llama2-13b_finetuned,HoC_pmcllama-13b_finetuned,0.6171,0.0737,[0.4586 0.7515],0.3802,0.0816,[0.2458 0.5279],3.2200000000000004e-32
HoC_llama2-13b-chat_zs,HoC_llama2-13b-chat_os,0.1125,0.0523,[0.0224 0.2221],0.2823,0.0561,[0.1722 0.3951],1.1900000000000001e-32
HoC_llama2-13b-chat_zs,HoC_llama2-13b-chat_5s,0.1125,0.0523,[0.0224 0.2221],0.1698,0.0337,[0.1068 0.2252],4.22e-15
HoC_llama2-13b-chat_zs,HoC_pmcllama-13b_finetuned,0.1125,0.0523,[0.0224 0.2221],0.3802,0.0816,[0.2458 0.5279],4.08e-34
HoC_llama2-13b-chat_os,HoC_llama2-13b-chat_5s,0.2823,0.0561,[0.1722 0.3951],0.1698,0.0337,[0.1068 0.2252],3.16e-29
HoC_llama2-13b-chat_os,HoC_pmcllama-13b_finetuned,0.2823,0.0561,[0.1722 0.3951],0.3802,0.0816,[0.2458 0.5279],5.39e-16
HoC_llama2-13b-chat_5s,HoC_pmcllama-13b_finetuned,0.1698,0.0337,[0.1068 0.2252],0.3802,0.0816,[0.2458 0.5279],1.35e-33
