Model 1,Model 2,Model 1 Mean,Model 1 Std Error,Model 1 Confidence Interval,Model 2 Mean,Model 2 Std Error,Model 2 Confidence Interval,p-value
PUBMED_gpt3.5_5s,PUBMED_gpt4_zs,0.241,0.0137,[0.2153 0.2679],0.2402,0.0139,[0.2184 0.2714],0.47
PUBMED_gpt3.5_5s,PUBMED_gpt4_os,0.241,0.0137,[0.2153 0.2679],0.2426,0.0143,[0.2182 0.2751],0.549
PUBMED_gpt3.5_5s,PUBMED_gpt4_5s,0.241,0.0137,[0.2153 0.2679],0.244,0.0144,[0.2221 0.279 ],0.443
PUBMED_gpt3.5_5s,PUBMED_llama2-13b_finetuned,0.241,0.0137,[0.2153 0.2679],0.1889,0.0241,[0.1512 0.2362],7.049999999999999e-30
PUBMED_gpt3.5_5s,PUBMED_llama2-13b-chat_zs,0.241,0.0137,[0.2153 0.2679],0.1209,0.0135,[0.0991 0.1538],2.5199999999999998e-34
PUBMED_gpt3.5_5s,PUBMED_llama2-13b-chat_os,0.241,0.0137,[0.2153 0.2679],0.0991,0.0027,[0.0937 0.104 ],2.5199999999999998e-34
PUBMED_gpt3.5_5s,PUBMED_llama2-13b-chat_5s,0.241,0.0137,[0.2153 0.2679],0.1635,0.0119,[0.1445 0.1881],2.5199999999999998e-34
PUBMED_gpt3.5_5s,PUBMED_pmcllama-13b_finetuned,0.241,0.0137,[0.2153 0.2679],0.1693,0.0165,[0.1428 0.2099],4.88e-34
PUBMED_gpt4_zs,PUBMED_gpt4_os,0.2402,0.0139,[0.2184 0.2714],0.2426,0.0143,[0.2182 0.2751],0.199
PUBMED_gpt4_zs,PUBMED_gpt4_5s,0.2402,0.0139,[0.2184 0.2714],0.244,0.0144,[0.2221 0.279 ],0.0859
PUBMED_gpt4_zs,PUBMED_llama2-13b_finetuned,0.2402,0.0139,[0.2184 0.2714],0.1889,0.0241,[0.1512 0.2362],1.42e-29
PUBMED_gpt4_zs,PUBMED_llama2-13b-chat_zs,0.2402,0.0139,[0.2184 0.2714],0.1209,0.0135,[0.0991 0.1538],2.5199999999999998e-34
PUBMED_gpt4_zs,PUBMED_llama2-13b-chat_os,0.2402,0.0139,[0.2184 0.2714],0.0991,0.0027,[0.0937 0.104 ],2.5199999999999998e-34
PUBMED_gpt4_zs,PUBMED_llama2-13b-chat_5s,0.2402,0.0139,[0.2184 0.2714],0.1635,0.0119,[0.1445 0.1881],2.5199999999999998e-34
PUBMED_gpt4_zs,PUBMED_pmcllama-13b_finetuned,0.2402,0.0139,[0.2184 0.2714],0.1693,0.0165,[0.1428 0.2099],4.4599999999999995e-34
PUBMED_gpt4_os,PUBMED_gpt4_5s,0.2426,0.0143,[0.2182 0.2751],0.244,0.0144,[0.2221 0.279 ],0.786
PUBMED_gpt4_os,PUBMED_llama2-13b_finetuned,0.2426,0.0143,[0.2182 0.2751],0.1889,0.0241,[0.1512 0.2362],3.3999999999999996e-30
PUBMED_gpt4_os,PUBMED_llama2-13b-chat_zs,0.2426,0.0143,[0.2182 0.2751],0.1209,0.0135,[0.0991 0.1538],2.5199999999999998e-34
PUBMED_gpt4_os,PUBMED_llama2-13b-chat_os,0.2426,0.0143,[0.2182 0.2751],0.0991,0.0027,[0.0937 0.104 ],2.5199999999999998e-34
PUBMED_gpt4_os,PUBMED_llama2-13b-chat_5s,0.2426,0.0143,[0.2182 0.2751],0.1635,0.0119,[0.1445 0.1881],2.5199999999999998e-34
PUBMED_gpt4_os,PUBMED_pmcllama-13b_finetuned,0.2426,0.0143,[0.2182 0.2751],0.1693,0.0165,[0.1428 0.2099],4.329999999999999e-34
PUBMED_gpt4_5s,PUBMED_llama2-13b_finetuned,0.244,0.0144,[0.2221 0.279 ],0.1889,0.0241,[0.1512 0.2362],9.020000000000001e-31
PUBMED_gpt4_5s,PUBMED_llama2-13b-chat_zs,0.244,0.0144,[0.2221 0.279 ],0.1209,0.0135,[0.0991 0.1538],2.5199999999999998e-34
PUBMED_gpt4_5s,PUBMED_llama2-13b-chat_os,0.244,0.0144,[0.2221 0.279 ],0.0991,0.0027,[0.0937 0.104 ],2.5199999999999998e-34
PUBMED_gpt4_5s,PUBMED_llama2-13b-chat_5s,0.244,0.0144,[0.2221 0.279 ],0.1635,0.0119,[0.1445 0.1881],2.5199999999999998e-34
PUBMED_gpt4_5s,PUBMED_pmcllama-13b_finetuned,0.244,0.0144,[0.2221 0.279 ],0.1693,0.0165,[0.1428 0.2099],3.11e-34
PUBMED_llama2-13b_finetuned,PUBMED_llama2-13b-chat_zs,0.1889,0.0241,[0.1512 0.2362],0.1209,0.0135,[0.0991 0.1538],1.35e-33
PUBMED_llama2-13b_finetuned,PUBMED_llama2-13b-chat_os,0.1889,0.0241,[0.1512 0.2362],0.0991,0.0027,[0.0937 0.104 ],2.5199999999999998e-34
PUBMED_llama2-13b_finetuned,PUBMED_llama2-13b-chat_5s,0.1889,0.0241,[0.1512 0.2362],0.1635,0.0119,[0.1445 0.1881],9.39e-18
PUBMED_llama2-13b_finetuned,PUBMED_pmcllama-13b_finetuned,0.1889,0.0241,[0.1512 0.2362],0.1693,0.0165,[0.1428 0.2099],4.19e-11
PUBMED_llama2-13b-chat_zs,PUBMED_llama2-13b-chat_os,0.1209,0.0135,[0.0991 0.1538],0.0991,0.0027,[0.0937 0.104 ],2.5e-30
PUBMED_llama2-13b-chat_zs,PUBMED_llama2-13b-chat_5s,0.1209,0.0135,[0.0991 0.1538],0.1635,0.0119,[0.1445 0.1881],2.0800000000000002e-32
PUBMED_llama2-13b-chat_zs,PUBMED_pmcllama-13b_finetuned,0.1209,0.0135,[0.0991 0.1538],0.1693,0.0165,[0.1428 0.2099],9.17e-33
PUBMED_llama2-13b-chat_os,PUBMED_llama2-13b-chat_5s,0.0991,0.0027,[0.0937 0.104 ],0.1635,0.0119,[0.1445 0.1881],2.5199999999999998e-34
PUBMED_llama2-13b-chat_os,PUBMED_pmcllama-13b_finetuned,0.0991,0.0027,[0.0937 0.104 ],0.1693,0.0165,[0.1428 0.2099],2.5199999999999998e-34
PUBMED_llama2-13b-chat_5s,PUBMED_pmcllama-13b_finetuned,0.1635,0.0119,[0.1445 0.1881],0.1693,0.0165,[0.1428 0.2099],0.0155
